tab,io_id,name,path_or_pattern,format,storage_scope,model_layer,direction,producer,consumer,required,generated_or_manual,owner_team,lifecycle,schema_or_key_columns,units,temporal_resolution,spatial_resolution,sector_technology_resolution,source_or_provenance,placeholder_status,validation_rules,interpretation_notes,quality_caveats,used_by_code,related_artifacts,example_values,update_frequency,expert_action_required
Inputs,IN-034,Scenario assumptions table,inputs/mario_inputs/scenario_assumptions.csv,CSV,repo_static expert-owned,Integrated indicators,input,MRIO/development/product analysts,integrated indicator builder and environment validation,Yes for scenario-specific non-energy assumptions,Manual expert-owned assumptions,MRIO/development experts,Static assumptions table,assumption_key; scenario_key; value; unit; effective_year; source; notes,varies by assumption; numeric value parsed where possible,effective_year; scenario selection falls back baseline/default,scenario/global unless assumption key implies geography,not necessarily sector-specific,Expert assumptions outside energy model boundary,Strict-blocking if selected placeholder rows and allow_placeholder_data=false,Assumption keys required; scenario_key selection ranks exact over baseline over default; numeric parsing where needed,Provides non-energy assumptions for integrated indicators and narrative interpretation.,Could overlap with report-derived MRIO-direct assumptions; provenance should distinguish table vs DOCX report.,backend/api_service/mario_runtime.py; backend/api_service/integrated.py,OUT-038; OUT-035,assumption_key=access_multiplier; scenario_key=baseline,When scenario narratives or indicator assumptions change,Analyst should reconcile with report parser output and remove placeholders.
Inputs,IN-035,Development indicator mapping,inputs/mario_inputs/development_indicator_mapping.csv,CSV,repo_static expert-owned,Integrated indicators,input,Development/product analysts,integrated.build_development_indicator_payload,Optional but needed for rich reporting,Manual mapping table,Development analysts + product,Static reporting contract,indicator_id; indicator_name; driver_metric; aggregation_rule; unit; lag_years; notes,indicator units as declared,lag_years plus run target year,indicator-specific; often global/regional,"maps to modeled metrics, not necessarily sectors",Curated indicator mapping,May be placeholder but not strict-blocking by default,indicator_id required; driver_metric should match integrated outputs or becomes unavailable,Maps model outputs into named development indicators for dashboard/reporting.,Unavailable mappings reduce model quality and reporting completeness.,backend/api_service/mario_runtime.py; backend/api_service/integrated.py,OUT-037; OUT-039,driver_metric=jobs_total; unit=jobs,When dashboard indicators change,Development/product team should maintain definitions and avoid vague metrics.
Inputs,IN-036,Exchange output schema,inputs/mario_inputs/exchange_output_schema.csv,CSV,repo_static,Bridge validation,input,Backend + MRIO team,mario_runtime.write_exchange_schema_validation,Yes for bridge validation,Manual schema contract,Backend/MRIO experts,Static schema contract,file_name; column_name; required; dtype; description,declared column dtypes/metadata,schema only,schema only,schema only,Internal contract for exchange CSVs,Not placeholder,Required files/columns must exist after bridge generation,Validates bridge artifacts before/while running development layer.,Schema can lag actual files if new bridge artifacts are added.,backend/api_service/mario_runtime.py,OUT-011 to OUT-016; OUT-020,"investment_shocks.csv, shock_value_musd, yes, float",When exchange file schema changes,Backend/MRIO team should update schema and tests together.
Inputs,IN-037,World fit GeoJSON,frontend/geo/world_fit.geojson,GeoJSON,frontend_static,Frontend GIS,input,GIS/frontend team,frontend map rendering and spatial filters,Yes for map display,Manual/procured spatial file,GIS + frontend,Static asset; replace with expert GIS source if placeholder,GeoJSON FeatureCollection; country/subregion properties; geometries,longitude/latitude coordinates; properties vary,static geography,country or subcountry polygons as available,not sector-specific,User/procured geospatial source,May be placeholder; must be verified for production,Valid GeoJSON; geometry properties must join to model region/country codes,Provides polygon boundaries for map display and selection.,Incorrect joins produce wrong highlighting/filtering even if model data is correct.,frontend/app.jsx and map helpers,OUT-030; IN-038; IN-039,Feature.properties.ISO_A3=ZAF,When GIS boundaries change,Procure authoritative GeoJSON with stable ISO/calliope join keys and license metadata.
Inputs,IN-038,EDIM placeholder location GeoJSON,frontend/geo/edim_locations_placeholder.geojson,GeoJSON,frontend_static placeholder,Frontend GIS,input,GIS/frontend team,frontend map fallback/centroid system,Conditional fallback,Manual/generated placeholder asset,GIS + frontend,Temporary placeholder until authoritative subregion file arrives,GeoJSON points or features with EDIM location codes and lat/lon,longitude/latitude coordinates,static geography,Calliope country/subregion representative points,not sector-specific,Placeholder generated for EDIM location visualization,Placeholder by name; not production-grade,Must be valid GeoJSON; coordinates should be within parent country; properties must join to Calliope locations,Feeds centroid/Voronoi representative areas when polygon subregions are not available.,"Representative points are a visualization approximation, not a true administrative boundary.",frontend/app.jsx map helpers,OUT-030,ZAF_subregion centroid point,Temporary until real GIS file exists,Replace with authoritative subnational geometry or vetted centroids.
Inputs,IN-039,Country geometry manifest,frontend/geo/countries_manifest.json,JSON,frontend_static,Frontend GIS,input,GIS/frontend team,frontend country geometry loader,Yes for per-country TopoJSON lookup,Generated/manual manifest,GIS + frontend,Static asset,country code to topology asset path and metadata,codes and paths,static geography,country-level,not sector-specific,Generated from countries_topojson assets,Not placeholder if source geometry is acceptable,Manifest paths must exist; codes should align with ISO_A3 used by model/geography mapping,Allows lazy loading or cataloging of country geometries.,Manifest completeness does not imply subnational resolution.,frontend/app.jsx map helpers,IN-040; OUT-030,ZAF -> countries_topojson/ZAF.topo.json,When country topology files change,GIS/frontend team should regenerate and validate manifest.
Inputs,IN-040,Per-country TopoJSON boundaries,frontend/geo/countries_topojson/*.topo.json,TopoJSON,frontend_static,Frontend GIS,input,GIS/frontend team,frontend country map rendering,Yes for detailed country outlines,Generated/procured GIS assets,GIS + frontend,Static asset collection,TopoJSON topology per ISO-like code,longitude/latitude topology coordinates,static geography,country-level topology; may include internal properties depending source,not sector-specific,Procured/generated geospatial source,Unknown; verify license/source before external use,Each manifest file should parse and match expected code,Provides map outlines and fallback boundaries for countries.,May not include the subnational boundaries needed for highest model resolution.,frontend map helpers,IN-039; OUT-030,ZAF.topo.json; BRA.topo.json; IND.topo.json,When GIS assets change,"GIS team should document source, simplification tolerance, and license."
Inputs,IN-041,Architecture design spec,frontend/architecture.spec.json and architecture.spec.json,JSON,repo_static/frontend_static,Design/system documentation,input,Design/backend/frontend leads,Architecture tab renderer and handoff documentation,Optional for model execution; required for architecture tab,Manual/refined design spec,Design + architecture,Versioned design documentation,sections; layers; flows; data contracts; UI guidance depending spec,metadata and text,not model temporal data,system/design scope,not sector-specific,Project architecture design artifact,Not model data,Must parse as JSON; frontend copy should remain in sync with root copy,Drives the architecture/spec tab added to the EDIM app.,Can drift from implemented code if not maintained with features.,frontend/architecture.js; frontend/app.jsx,OUT-040,schema/version/title/sections,When architecture changes,Keep spec synchronized with implemented runtime and handoff docs.
Inputs,IN-042,Runtime environment variables,"Environment: EDIM_SOLVER, EDIM_DEVELOPMENT_ENGINE, EDIM_* profile settings, OPENAI_API_KEY if used",process environment / .env,runtime_config,Runtime/orchestration,input,Operator/developer,settings loader and runner,Yes for solver/runtime behavior; API key only for optional features,Manual runtime config,Backend/devops,Per environment,solver; development_engine; run profile subset windows; time limits; queue/retention; optional paths,seconds; dates; paths; booleans,profile-dependent time windows,global runtime behavior,not sector-specific,Deployment environment,Not placeholder; local defaults may be dev-oriented,Values must be parseable by settings; solver must be available; full-year must be explicitly allowed if disabled,"Controls solver selection, development engine mode, queue limits, run retention, and strict runtime behavior.",Environment drift is a common source of “works on my machine” differences.,backend/api_service/settings.py; backend/api_service/runner.py,OUT-027; OUT-020,EDIM_SOLVER=highs; EDIM_DEVELOPMENT_ENGINE=mario,Per deployment or local setup,Document deployment values and keep dev/analysis/full profiles intentional.
Outputs,OUT-001,Unified scenario package artifact,outputs/runs/<run_id>/scenario_package.json,JSON,run_artifact,Scenario orchestration,output,scenario_package.build_scenario_package,"Energy adapter, MRIO-direct adapter, diagnostics, UI/API result payload",Yes,Generated per run,Backend,One per run,schema_version; created_at_utc; energy_scenario_key; mrio_scenario_id; target_year; run_profile; levers; strict_validation; allow_placeholder_data; energy; mrio_direct; geography_alignment; provenance,mixed metadata; lever units; year,selected target_year and profile,MRIO geography plus mapped Calliope locations,energy scenario and MRIO scenario metadata,Integrated request plus report cache plus geography mapping,None; reflects request and parsed inputs,Must be written before model execution; geography_alignment.blocking_mismatch must be false,Primary inspectable contract showing what the run meant. This is the artifact teams should start from when debugging a result.,Package validity does not mean numeric outputs are calibrated.,backend/api_service/scenario_package.py; backend/api_service/runner.py,IN-001 to IN-008; OUT-002 to OUT-006; OUT-029,schema_version=integrated_scenario_package_v1,Every run,Keep stable enough for downstream debugging and attach to reports/exports.
Outputs,OUT-002,Energy input manifest,outputs/runs/<run_id>/scenario/energy_input_manifest.json,JSON,run_artifact,Energy adapter,output,scenario_package.write_scenario_artifacts,"Run diagnostics, UI provenance",Yes,Generated per run,Backend/energy,One per run,adapter; model; scenario_key,metadata only,selected run target/profile by context,Calliope model scope,selected energy scenario key,Copied from scenario_package.energy,None,Must include adapter=calliope_v1 and scenario key,Records the energy-side adapter decision that feeds Calliope.,"Currently a manifest, not a full materialized Calliope model dump.",backend/api_service/scenario_package.py,OUT-001; OUT-007; OUT-008,adapter=calliope_v1; model=calliope,Every run,"If OSeMOSYS is added, extend schema without overloading Calliope fields."
Outputs,OUT-003,Report scenario reference artifact,outputs/runs/<run_id>/scenario/report_scenario_reference.json,JSON,run_artifact,MRIO-direct scenario source,output,scenario_package.write_scenario_artifacts,Run diagnostics and UI provenance,Yes,Generated per run,Backend/MRIO,One per run,scenario_id; geography_code; geography; scenario_type; label; summary; shock_categories; notes,parsed report targets and text,target years contained in scenario reference,report geography,"A/Z, E, Y categories",Copied from parsed scenario report cache,"None, but heuristic interpretation must be labeled",Must match mrio_scenario_id in scenario_package,Freezes the report-derived MRIO scenario used by the run.,"If report parser missed content, this artifact will also be incomplete.",backend/api_service/scenario_package.py,IN-003; IN-004; OUT-001; OUT-005,scenario_id=ZA-S2,Every run,Analysts should review this after report changes.
Outputs,OUT-004,Geography alignment artifact,outputs/runs/<run_id>/scenario/geography_alignment.json,JSON,run_artifact,Geography alignment,output,scenario_package.build_geography_alignment,"MRIO-direct adapter, UI diagnostics, map filters",Yes,Generated per run,Backend/GIS,One per run,status; blocking_mismatch; mrio_geography_code; mrio_geography; calliope_locations[]; calliope_location_count; alignment_level; mapping_rows; notes,codes and counts,scenario-level,MRIO geography to Calliope locations,not sector-specific,Derived from scenario_geography_mapping.csv and Calliope locations,None; mapping quality depends on source table,blocking_mismatch false; selected locations should be nonempty for aligned scenarios unless MRIO-only is intentional,Shows how national/regional MRIO assumptions were applied to Calliope geographies.,"If status=mrio_only, map and regional development attribution need careful interpretation.",backend/api_service/scenario_package.py,IN-008; OUT-001; OUT-005; OUT-030,status=aligned; calliope_location_count=4,Every run,Audit if new report geography or Calliope subregion appears.
Outputs,OUT-005,MRIO-direct inputs artifact,outputs/runs/<run_id>/scenario/mrio_direct_inputs.json,JSON,run_artifact,MRIO-direct adapter,output,scenario_package.build_mrio_direct_inputs,"Development layer, UI source-channel panel, model quality diagnostics",Yes,Generated per run after bridge reference total is known,Backend/MRIO,One per run,schema_version; method; scenario_id; target_year; geography_code; bridge_total_reference_musd; configuration; shock_rows[]; totals; diagnostics,million USD shock values; emissions proxy delta,target_year,MRIO geography code and geography object,"MARIO proxy sectors and A/Z,E,Y categories",Parsed report plus bridge total reference plus development_model config,Heuristic v1; model quality cannot exceed analyst_review while active,"shock rows must contain category, region, sector, target_year, shock_value_musd, method; capped if direct total exceeds max ratio",Converts report assumptions outside the energy boundary into direct MRIO shock rows while preserving provenance.,Heuristic rows are not a full MARIO matrix shock execution; do not treat as final empirical IO result.,backend/api_service/scenario_package.py; backend/api_service/runner.py,OUT-001; OUT-006; OUT-018; OUT-019; OUT-033,method=mrio_direct_heuristic_v1,Every run with development layer,Replace heuristic formulas with actual A/Z/E/Y matrix shock execution when MARIO database integration is ready.
Outputs,OUT-006,MRIO-direct shock rows CSV,outputs/runs/<run_id>/scenario/mrio_direct_shocks.csv,CSV,run_artifact,MRIO-direct adapter,output,scenario_package.write_scenario_artifacts,"Analysts, UI source-channel panel, downstream MRIO tooling",Yes,Generated per run,Backend/MRIO,One per run,shock_category; parameter; mario_parameter; mario_region; geography; mario_sector; target_year; shock_value_musd; method; notes,million USD; category labels,target_year,MRIO geography,MARIO proxy sector,Derived from OUT-005 shock_rows,Heuristic v1,"Numeric shock_value_musd; categories align to A/Z, E, Y; method label required",Flat inspectable version of MRIO-direct shock assumptions.,May not be consumed by an external MARIO engine yet; currently supports built-in heuristic layer/diagnostics.,backend/api_service/scenario_package.py,OUT-005; OUT-018; OUT-019,"A/Z, fossil structural reduction, Coal_supply_chain, -12.5",Every run,Use as review table for MRIO experts before implementing exact matrix shocks.
Outputs,OUT-007,Runtime UI/lever override patch,outputs/runs/<run_id>/ui_override_patch.yaml,YAML,run_artifact,Energy adapter/runtime controls,output,runner._build_runtime_override_patch and lever override builder,"Calliope model build, analysts",Yes,Generated per run,Backend/energy,One per run,"Calliope override_dict structure for solver, profile subset_time, levers",Calliope-native units; seconds for time limits,profile-dependent subset_time,applies across selected Calliope model scope,technologies matched by lever mapping,Integrated request and lever mappings,None,Must be parseable YAML; should not mutate source Calliope files,Shows exactly what runtime patch was applied in addition to selected energy scenario.,Not a complete model; only delta patch.,backend/api_service/runner.py; backend/api_service/levers.py,IN-001; IN-006; IN-042; OUT-008,run.solver=appsi_highs; model.subset_time=[...],Every run,Review when lever effects seem absent or unexpected.
Outputs,OUT-008,Raw/flattened Calliope results table,outputs/runs/<run_id>/results.csv,CSV,run_artifact,Energy model results,output,Calliope solve + runner result extraction,"summary builder, bridge builder, UI/API downloads",Yes,Generated per successful run,Backend/energy,One per run,variable-like columns as emitted by runner from Calliope xarray results; includes dimensions such as tech/location/time where available,Calliope-native units by variable,model timestep or aggregated depending extracted variable,Calliope locations and links,Calliope technologies/carriers,Solved Calliope model using integrated energy scenario and overrides,None,Should be nonempty unless no result variables; parseable CSV,Primary flat export of energy model outputs.,Column schema may evolve with Calliope version and extraction logic; use summary artifacts for stable dashboard fields.,backend/api_service/runner.py; backend/api_service/summarize.py,OUT-009; OUT-011; OUT-012; OUT-013; OUT-030,"energy_cap, carrier_prod, cost variables",Every successful run,"If downstream tools need stability, formalize this CSV schema."
Outputs,OUT-009,Run summary API/file payload,outputs/runs/<run_id>/summary.json and GET /api/run/<run_id>/summary,JSON,run_artifact and API response,Integrated summary,output,runner.run_scenario and summarize/build_integrated stages,"Frontend dashboard, API clients, report builder",Yes,Generated per run,Backend,One per run,run_id; energy_scenario_key; mrio_scenario_id; target_year; run_profile; warnings; scenario_package; generation_by_tech; capacity_by_tech; new_capacity_by_tech; system_cost; emissions; summary_diagnostics; development_impacts; exchange_artifacts; integrated_results; coupling_manifest; scenario_assumptions; development_indicators,"mixed energy, emissions, cost, jobs, GVA units",target year plus model timestep aggregations in diagnostics,"global, location, pool, region depending metric","technology, carrier, supplier sector depending metric","Composed from model outputs, diagnostics, development runtime, integrated builder","None, but may contain warnings about placeholders/heuristics",Must satisfy RunSummary Pydantic shape; warnings should be retained,Main backend output consumed by dashboard and reports.,Mixed resolution object: users must inspect metric_resolution/source channel metadata for correct filtering.,backend/api_service/schemas.py; backend/api_service/runner.py,OUT-010; OUT-018; OUT-021; OUT-022; OUT-029,system_cost.total; emissions.total; development_impacts.selected_totals.jobs_total,Every run,Keep as stable as possible for frontend; add explicit schema versions if external clients consume it.
Outputs,OUT-010,Summary diagnostics object,summary.json.summary_diagnostics,JSON object,run_artifact nested object,Energy diagnostics,output,backend/api_service/summarize.py,"Frontend charts, integrated results, bridge fallback weighting",Yes,Generated per run,Backend/energy,Nested in summary,reliability; energy_balance; physical_emissions; cost_decomposition; trade_matrix; system_structure; run_metadata and related diagnostic records,MWh/GWh-like energy units; tCO2; USD; shares; counts,model timestep aggregations and run metadata,"global, location, power pool depending metric",technology/carrier/cost component depending metric,Derived from Calliope results.csv/xarray result variables,None,Should include source/resolution where feasible; must not label regional values as country if native resolution differs,"Provides detailed diagnostic basis for costs, emissions, reliability, trade, and model structure.",Some metrics are global only or have non-country native resolution; frontend must respect metric_resolution.,backend/api_service/summarize.py; backend/api_service/integrated.py,OUT-009; OUT-012; OUT-013; OUT-034,physical_emissions.total_emissions; reliability.unserved_energy_share,Every run,Continue expanding explicit unit/resolution metadata per metric.
Outputs,OUT-011,Calliope component activity exchange,outputs/runs/<run_id>/exchange/calliope_component_activity.csv,CSV,run_artifact exchange,Bridge,output,runner bridge preparation,"MARIO runtime, analysts",Yes,Generated per run,Backend/MRIO bridge,One per run,technology; carrier; region/location; activity/value columns depending bridge extraction,energy/activity units from Calliope extraction,aggregated run period or target-year proxy,Calliope location/MARIO region depending bridge,Calliope technology and carrier,Derived from solved Calliope outputs,None,Must satisfy exchange_output_schema where declared,Inspectable bridge table of model activity used to derive shocks.,Schema should be kept explicit; activity-to-economic shock interpretation requires mapping tables.,backend/api_service/runner.py,IN-027; IN-031; OUT-012; OUT-013; OUT-016,PV generation activity in SAPP/ZAF,Every run,Formalize units and aggregation period in metadata.json if not already explicit.
Outputs,OUT-012,Investment shocks exchange,outputs/runs/<run_id>/exchange/investment_shocks.csv,CSV,run_artifact exchange,Bridge to MRIO,output,runner bridge preparation,MARIO runtime and MRIO-direct reference total,Yes,Generated per run,Backend/MRIO bridge,One per run,region; mario_sector; technology; shock_value_musd and related fields,million USD,run/target-year economic proxy,MARIO region mapped from Calliope location,MARIO supplier sector and Calliope technology,Calliope cost decomposition plus CAPEX split mapping,None,Required columns validated by exchange_output_schema; positive shock values used by runtime,Represents bridge-derived capital/investment demand shocks from the energy model.,Bridge-derived values are currently authoritative over overlapping MRIO-direct headline totals.,backend/api_service/runner.py; backend/api_service/mario_runtime.py,IN-027; IN-029; IN-031; OUT-018; OUT-020,region=ZAF; mario_sector=Construction_of_power_assets; shock_value_musd=10.5,Every run,Verify currency basis and whether costs are annualized vs overnight before policy interpretation.
Outputs,OUT-013,Operating shocks exchange,outputs/runs/<run_id>/exchange/operating_shocks.csv,CSV,run_artifact exchange,Bridge to MRIO,output,runner bridge preparation,MARIO runtime,Yes,Generated per run,Backend/MRIO bridge,One per run,region; mario_sector; technology; opex_type; shock_value_musd and related fields,million USD,run/target-year economic proxy,MARIO region mapped from Calliope location,"MARIO supplier sector, Calliope technology, OPEX type",Calliope cost decomposition plus OPEX split mapping,None,Required columns validated by exchange_output_schema; positive shock values used by runtime,Represents bridge-derived operating expenditure shocks from the energy model.,OPEX timing/annualization assumptions must be documented for interpretation.,backend/api_service/runner.py; backend/api_service/mario_runtime.py,IN-028; IN-030; IN-031; OUT-018,opex_type=fixed_om; shock_value_musd=3.2,Every run,MRIO expert should confirm OPEX sector split and time basis.
Outputs,OUT-014,Energy service balance exchange,outputs/runs/<run_id>/exchange/energy_service_balance.csv,CSV,run_artifact exchange,Bridge diagnostics,output,runner bridge preparation,"Analysts, diagnostics, potential MRIO demand channel",Yes,Generated per run,Backend/MRIO bridge,One per run,region/location; carrier/service; production/consumption/balance fields depending bridge builder,energy units from Calliope results,run period or target-year aggregation,Calliope location/pool/MARIO region depending extraction,carrier/service,Derived from solved Calliope energy balances,None,Should parse and be internally balanced within tolerance where applicable,Supports diagnostics about energy service changes feeding development interpretation.,Not necessarily a direct monetary MRIO shock by itself.,backend/api_service/runner.py,OUT-011; OUT-016; OUT-020,electricity balance by region,Every run,Clarify whether balance values are annualized or subset-time scaled.
Outputs,OUT-015,Prices and taxes exchange,outputs/runs/<run_id>/exchange/prices_and_taxes.csv,CSV,run_artifact exchange,Bridge diagnostics,output,runner bridge preparation,Analysts and potential MRIO price/tax channel,Yes if price/tax fields available; may be sparse,Generated per run,Backend/MRIO bridge,One per run,region/location; component/account; price/tax fields depending bridge builder,"USD, USD/tCO2, or model-native monetary units",run/target-year proxy,region/location where available,cost/tax component,Derived from Calliope costs and lever carbon price,None,Should parse; missing fields should be represented with diagnostics/warnings,Captures bridge-side price/tax assumptions such as carbon price effects.,May not yet feed full MARIO price-shock execution.,backend/api_service/runner.py,IN-001; IN-028; OUT-016; OUT-020,carbon_price_usd_per_tco2=10,Every run,Define exact downstream MRIO price/tax interpretation before using for policy claims.
Outputs,OUT-016,Exchange metadata,outputs/runs/<run_id>/exchange/metadata.json,JSON,run_artifact exchange,Bridge diagnostics,output,runner bridge preparation,"MARIO runtime, UI diagnostics, analysts",Yes,Generated per run,Backend/MRIO bridge,One per run,run_id; scenario; year; bridge method; source files; schema validation; shock totals and diagnostics as implemented,mixed metadata/counts/totals,target year/run profile,bridge regions/locations,bridge sectors/technologies,Derived from bridge preparation stage,None,Should identify source tables and validation status,Documents the exchange bundle contents and bridge generation details.,"If metadata omits unit/time basis, external users may misread shocks.",backend/api_service/runner.py; backend/api_service/mario_runtime.py,OUT-011 to OUT-015; OUT-020,bridge_method=calliope_to_mario_exchange_with_io_runtime,Every run,Expand if new exchange channels are added.
Outputs,OUT-017,MARIO runtime direct output before MRIO-direct attachment,outputs/runs/<run_id>/exchange/development_impacts_mario.json,JSON,run_artifact exchange,Development/MRIO bridge channel,output,mario_runtime.run_mario_io_runtime,Combined development_impacts builder and analysts,Yes when MARIO engine mode is active,Generated per run,Backend/MRIO,One per MARIO run,run_id; scenario; method=mario_io_runtime_v1; inputs; totals; uncertainty; by_region; by_supplier_sector; by_region_supplier; diagnostics; metadata,jobs; million USD; relative bounds,target year; reference years in intensity tables,MARIO region,MARIO supplier sector,Bridge shocks plus employment/value-added intensity tables,None if inputs calibrated; may reflect placeholder intensity data,Requires required MARIO input tables; handles empty/non-positive shocks with zero payload and warnings,Bridge-channel development impacts before adding MRIO-direct source channel.,Built-in IO runtime is simplified relative to full MARIO database matrix execution.,backend/api_service/mario_runtime.py; backend/api_service/runner.py,IN-032; IN-033; OUT-012; OUT-013; OUT-018,totals.jobs_total=...,Every MARIO run,Replace/extend with exact MARIO database results when available.
Outputs,OUT-018,Development impacts combined payload,outputs/runs/<run_id>/development_impacts.json and /api/run/<run_id>/development,JSON,run_artifact and API response,Development/MRIO integrated layer,output,runner._attach_mrio_direct_layer plus MARIO/surrogate runtime,"Frontend development panels, integrated results, reports",Yes,Generated per run,Backend/MRIO,One per run,bridge; mrio_direct; selected_totals; combined_totals; overlap_diagnostics; totals; uncertainty; by_region; by_supplier_sector; by_region_supplier; diagnostics; metadata,jobs; million USD; counts; shares,target year; intensity reference years in source tables,MARIO regions and mapped geography,MARIO supplier sectors,Bridge runtime plus MRIO-direct heuristic inputs,MRIO-direct is heuristic; bridge channel quality depends on expert tables,selected_totals defaults to bridge on overlap; overlap_diagnostics must clearly flag temporary policy,Main development impact object. It keeps source channels separate while exposing a bridge-authoritative selected total for headlines.,Do not sum selected_totals and mrio_direct totals for headlines without understanding overlap.,backend/api_service/runner.py; backend/api_service/integrated.py,OUT-005; OUT-006; OUT-017; OUT-019; OUT-021,selected_totals.jobs_total; mrio_direct.totals.gva_total_musd,Every run,MRIO expert should review overlap list and replace heuristic merge policy later.
Outputs,OUT-019,Exchange copy of development impacts,outputs/runs/<run_id>/exchange/development_impacts.json,JSON,run_artifact exchange,Development/MRIO integrated layer,output,runner final artifact writer,Exchange bundle consumers,Yes,Generated per run,Backend/MRIO,One per run,Same logical schema as OUT-018,jobs; million USD,target year,MARIO regions,MARIO supplier sectors,Copied/written from combined development impacts,Same as OUT-018,Must stay consistent with root development_impacts.json,Puts combined development impact payload inside exchange folder for bundle completeness.,Duplicate copy can drift only if writer changes; tests should ensure consistency.,backend/api_service/runner.py,OUT-018; OUT-025,Same as OUT-018,Every run,Keep root and exchange copies synchronized.
Outputs,OUT-020,Coupling manifest,outputs/runs/<run_id>/coupling_manifest.json and exchange/coupling_manifest.json,JSON,run_artifact,Integration diagnostics,output,runner development and integrated stages,"Frontend provenance panels, reports, analysts",Yes,Generated per run,Backend,"One per run, plus exchange copy",development_engine_mode; mapping coverage; runtime metadata; integration_architecture; energy_scenario_key; mrio_scenario_id; target_year; mrio_direct_method; mrio_direct_heuristic; selected_totals_source; temporary_overlap_policy; report_source; geography_alignment,mixed metadata/counts/shares,target year/profile,MRIO and Calliope geography metadata,sector mapping diagnostics where present,Bridge + MRIO-direct runtime diagnostics,"None, but may report heuristic/placeholder/fallback warnings",Should flag temporary overlap policy and mrio_direct_heuristic true when active,"Primary coupling/provenance artifact explaining how energy, bridge, and MRIO-direct layers were connected.","If this says bridge_authoritative_for_headline_totals, users should not interpret MRIO-direct as additive headline output.",backend/api_service/runner.py; backend/api_service/integrated.py,OUT-001; OUT-004; OUT-018; OUT-022,integration_architecture=bridge_plus_mrio_direct_v1,Every run,Maintain as the audit trail for integration decisions.
Outputs,OUT-021,Integrated results payload,outputs/runs/<run_id>/integrated_results.json and /api/run/<run_id>/integrated,JSON,run_artifact and API response,Integrated results,output,integrated.build_integrated_results,"Frontend dashboard, reports, downloads",Yes,Generated per run,Backend,One per run,run_id; scenario; scenario_package; headline_metrics; development_drivers; regional_development; development_confidence; development_uncertainty; baseline_comparison; development_indicators; model_quality; metric_resolution; source_channels; scenario_provenance,jobs; GVA/income million USD; emissions; reliability shares; metadata,target year and profile context,"global, regional, location/pool depending metric_resolution","technology, supplier sector, indicator depending section","Run summary, development impacts, assumptions, coupling manifest",Contains heuristic and quality flags where active,validate_integrated_results checks required fields/types; model_quality should cap status if MRIO-direct heuristic active,Most complete dashboard/report payload with provenance and source channel comparison.,Consumers must honor metric_resolution and source_channels instead of assuming all fields filter to country level.,backend/api_service/integrated.py; backend/api_service/runner.py,OUT-009; OUT-018; OUT-020; OUT-037; OUT-039,source_channels.bridge; source_channels.mrio_direct; model_quality.status=analyst_review,Every run,Treat this as primary API for frontend; add schema version if externalized.
Outputs,OUT-022,Exchange copy of integrated results,outputs/runs/<run_id>/exchange/integrated_results.json,JSON,run_artifact exchange,Integrated results,output,runner final artifact writer,Exchange bundle consumers,Yes,Generated per run,Backend,One per run,Same logical schema as OUT-021,mixed,target year/profile,mixed resolution,mixed,Copied/written from integrated results,Same as OUT-021,Must stay consistent with root integrated_results.json,Makes integrated result available inside exchange bundle.,Duplicate copy should be kept synchronized.,backend/api_service/runner.py,OUT-021; OUT-025,Same as OUT-021,Every run,Keep exchange and root copy synchronized.
Outputs,OUT-023,Run report markdown,outputs/runs/<run_id>/report.md,Markdown,run_artifact,Reporting,output,integrated.build_run_report_markdown,"Analysts, frontend/downloads",Yes,Generated per run,Backend/product,One per run,"Markdown sections for run summary, model quality, coupling, metric resolution, indicators, source channels, warnings",human-readable mixed units,target year/profile,mixed resolution with notes,mixed,Integrated results and summary artifacts,Inherits heuristic/placeholder caveats from payload,Should include scenario package/provenance and quality issues,Human-readable report for handoff and review.,Should not be treated as raw data source; use JSON/CSV artifacts for computation.,backend/api_service/integrated.py,OUT-009; OUT-021,## Model quality; ## Coupling,Every run,Review narrative text for clarity and update as architecture evolves.
Outputs,OUT-024,Legacy NetCDF results file,outputs/runs/<run_id>/results.nc,NetCDF,run_artifact optional/legacy,Energy model results,output,Calliope/runner in older or optional run paths,Analysts using xarray/Calliope tooling,Optional; present in older/sample runs,Generated when enabled/available,Backend/energy,Per run if produced,Calliope xarray dataset variables/dimensions,Calliope-native units,model timestep/dimensions,Calliope locations/links,Calliope technologies/carriers,Solved Calliope model,None,Must be readable as NetCDF/xarray if present,High-fidelity native-like result export for technical users.,Not primary dashboard contract and may not exist in all runs.,Calliope/runner,OUT-008; OUT-009,xarray Dataset variables,Optional,"If needed, formalize whether current runner should always write it."
Outputs,OUT-025,Exchange bundle archive,outputs/runs/<run_id>/exchange_bundle.zip,ZIP,run_artifact,Packaging/download,output,integrated.create_exchange_bundle_zip,Frontend downloads and downstream analysts,Yes,Generated per run,Backend,One per run,"ZIP containing exchange CSVs, metadata, development/integrated JSON, coupling manifest, possibly report files",mixed,target run,mixed,mixed,Run artifact packager,Inherits caveats of contents,Archive should include expected exchange files; no path traversal; valid ZIP,Portable bundle for downstream review or transfer.,Archive completeness depends on writer include list.,backend/api_service/integrated.py; backend/api_service/runner.py,OUT-011 to OUT-023,exchange_bundle.zip,Every run,Update packager when adding stable run artifacts.
